177 350
1 6 20
1 5 2
1 4 10
1 3 9
1 3 4
1 5 19
1 3 11
1 3 10
1 2 1
1 6 2
2 7 9
2 7 11
3 9 5
5 8 16
2 10 8
4 11 3
4 9 1
4 7 12
2 10 12
4 9 9
8 15 2
7 14 2
10 16 2
8 13 17
9 14 15
8 14 1
7 16 17
10 12 15
7 12 20
7 14 16
12 19 13
14 17 9
16 19 5
13 17 6
12 21 13
16 21 9
12 21 13
14 19 7
15 20 19
15 19 18
20 22 17
20 25 2
18 22 3
20 23 20
18 25 5
21 23 13
17 24 2
18 24 8
18 26 2
18 22 7
24 27 1
24 28 16
22 30 17
25 29 6
25 30 19
26 27 10
22 31 4
26 30 20
22 27 5
26 27 15
31 32 15
28 35 4
27 35 18
28 33 13
30 35 16
27 34 5
30 36 4
27 36 13
30 36 7
29 34 2
34 41 17
35 40 2
33 37 17
34 39 10
35 39 12
36 40 20
32 41 12
36 40 11
33 40 20
36 38 15
39 46 5
40 42 16
38 42 19
40 46 9
40 42 2
37 46 4
37 45 7
41 42 2
38 45 4
38 44 17
46 50 1
46 51 14
43 48 7
42 50 1
44 48 19
42 47 5
44 48 7
42 48 14
42 49 4
42 49 3
47 56 11
50 56 2
51 55 3
50 53 2
49 53 1
50 56 15
50 53 4
50 56 19
48 56 5
47 54 4
55 57 8
53 60 5
52 59 19
52 58 12
55 57 8
54 60 13
56 60 16
52 57 5
54 60 5
54 61 6
57 63 15
58 63 4
58 65 1
58 64 8
60 65 19
60 66 4
58 63 12
61 63 6
60 64 15
59 65 16
66 67 3
62 71 18
62 67 11
65 71 18
64 70 10
66 67 16
63 68 20
64 67 5
62 68 10
62 68 9
68 72 18
67 73 17
69 75 19
69 76 5
70 72 11
69 74 1
70 73 17
68 76 7
67 72 3
69 73 16
73 77 6
73 77 15
76 77 4
74 77 16
73 77 18
74 80 15
73 78 3
75 77 11
73 77 14
73 81 3
81 83 7
79 84 7
80 82 1
80 83 5
77 86 14
79 86 20
81 83 3
81 84 18
79 82 8
81 82 8
85 90 16
83 90 4
83 89 14
85 90 17
84 87 8
84 87 13
85 87 5
86 88 17
84 90 5
83 90 1
90 96 5
89 96 16
88 95 20
88 96 16
91 92 6
90 94 5
91 95 5
90 95 14
90 94 6
89 92 8
94 101 10
92 98 9
93 97 12
94 100 11
92 99 6
93 100 9
96 99 10
94 100 9
94 97 1
95 101 2
100 106 8
100 104 15
99 102 10
98 103 2
98 103 11
97 104 16
98 104 15
98 103 11
97 103 1
99 106 6
103 108 1
102 107 19
102 109 6
106 109 1
103 109 6
102 110 18
103 108 1
102 109 7
103 109 12
106 110 11
109 114 2
108 114 7
107 113 4
107 116 9
109 113 12
110 114 5
110 115 16
108 116 4
107 114 9
109 114 4
115 119 20
116 121 20
113 121 8
112 119 13
113 119 18
114 121 1
115 120 14
112 117 15
112 119 4
116 119 12
117 126 14
118 123 3
117 126 1
119 125 19
118 122 14
121 122 2
119 122 3
120 122 5
121 126 15
118 124 16
126 131 11
126 128 10
126 128 1
123 130 2
126 130 8
123 129 13
123 128 7
122 130 15
126 130 17
125 131 18
129 132 2
130 132 20
127 135 6
130 135 19
127 134 4
127 134 13
129 132 5
129 136 4
130 132 3
131 134 15
136 137 2
134 139 15
134 137 19
136 141 15
135 138 11
136 139 10
133 139 17
133 137 6
132 138 19
132 139 19
138 145 2
137 142 6
141 144 11
138 145 1
139 143 2
139 144 17
141 143 16
137 146 19
138 145 14
140 143 15
146 149 4
143 147 12
146 151 5
145 147 4
142 149 2
145 147 6
143 150 17
142 149 4
145 149 14
143 150 17
150 154 8
151 156 7
147 154 20
147 153 8
149 155 6
151 153 17
148 152 6
148 154 13
148 153 3
150 155 13
152 161 19
152 159 2
156 159 3
154 159 14
155 159 1
152 157 15
152 160 16
156 157 16
153 159 9
155 161 13
160 162 5
157 165 13
157 165 3
159 164 1
157 162 12
158 164 1
157 163 5
161 165 6
157 166 16
158 165 18
164 167 10
162 171 8
166 168 11
166 170 4
163 169 16
165 168 4
164 170 19
165 168 17
164 170 11
166 169 5
169 177 5
168 177 2
169 177 1
169 177 12
171 177 3
168 177 13
171 177 8
170 177 7
167 177 6
167 177 13
