102 600
1 2 18
1 3 14
1 2 8
1 2 10
1 6 2
1 6 8
1 3 14
1 5 7
1 3 10
1 6 6
1 2 18
1 5 20
1 6 17
1 2 3
1 2 12
1 5 14
1 5 12
1 5 12
1 5 20
1 5 6
1 5 10
1 4 12
1 5 7
1 5 20
1 5 4
1 6 16
1 6 14
1 2 13
1 6 4
1 4 20
2 7 6
2 9 10
3 7 13
5 10 2
2 7 3
5 11 8
5 9 15
4 8 17
6 7 2
2 7 4
5 8 12
3 8 17
3 8 14
5 11 7
4 8 16
5 9 15
4 9 12
6 10 3
4 9 3
2 9 14
2 11 17
5 11 6
5 10 10
5 7 5
6 8 3
6 8 2
2 11 12
5 7 14
2 8 19
4 8 9
11 13 8
9 12 18
10 12 19
9 12 18
9 13 17
9 12 13
11 14 7
9 13 4
10 16 13
10 14 2
10 12 5
11 15 9
11 12 1
7 12 8
8 13 2
9 14 10
10 16 12
8 13 12
11 15 6
10 14 18
8 13 13
10 14 5
10 16 16
11 12 16
8 13 15
9 16 4
7 13 18
8 16 16
11 13 8
11 12 5
12 19 9
12 17 15
13 18 11
13 17 6
12 20 7
15 20 12
16 17 6
16 20 1
12 17 9
14 17 1
14 20 12
13 21 2
14 17 8
15 18 17
14 19 1
16 17 1
12 17 17
16 17 5
15 21 10
12 19 17
16 19 14
16 20 15
16 21 15
15 17 8
13 17 16
13 21 19
12 21 19
14 20 8
14 20 14
13 20 11
21 22 20
17 25 8
19 25 17
20 26 10
19 26 5
17 24 14
20 22 13
21 24 4
20 22 20
20 26 9
17 23 12
21 22 10
21 26 18
20 26 5
17 25 17
17 22 17
19 24 9
17 25 18
17 24 16
18 24 9
19 25 16
18 22 13
18 22 10
18 22 14
21 23 7
19 26 15
19 22 17
18 22 7
21 26 9
18 24 8
25 29 13
25 31 10
24 30 7
23 29 15
25 27 20
22 28 18
24 29 18
25 29 12
22 31 10
22 28 13
26 29 3
24 27 7
25 31 18
22 27 15
23 28 5
22 31 14
22 30 1
