152 300
1 2 18
1 3 14
1 2 8
1 2 10
1 6 2
1 6 8
1 3 14
1 5 7
1 3 10
1 6 6
4 7 18
3 10 20
4 11 17
2 7 3
4 7 12
2 10 14
5 10 12
3 10 12
6 10 20
3 10 6
7 15 10
11 14 12
11 15 7
7 15 20
10 15 4
7 16 16
9 16 14
8 12 13
8 16 4
8 14 20
12 17 6
12 19 10
13 17 13
15 20 2
12 17 3
15 21 8
15 19 15
14 18 17
16 17 2
12 17 4
20 23 12
18 23 17
18 23 14
20 26 7
19 23 16
20 24 15
19 24 12
21 25 3
19 24 3
17 24 14
22 31 17
25 31 6
25 30 10
25 27 5
26 28 3
26 28 2
22 31 12
25 27 14
22 28 19
24 28 9
31 33 8
29 32 18
30 32 19
29 32 18
29 33 17
29 32 13
31 34 7
29 33 4
30 36 13
30 34 2
35 37 5
36 40 9
36 37 1
32 37 8
33 38 2
34 39 10
35 41 12
33 38 12
36 40 6
35 39 18
38 43 13
40 44 5
40 46 16
41 42 16
38 43 15
39 46 4
37 43 18
38 46 16
41 43 8
41 42 5
42 49 9
42 47 15
43 48 11
43 47 6
42 50 7
45 50 12
46 47 6
46 50 1
42 47 9
44 47 1
49 55 12
48 56 2
49 52 8
50 53 17
49 54 1
51 52 1
47 52 17
51 52 5
50 56 10
47 54 17
56 59 14
56 60 15
56 61 15
55 57 8
53 57 16
53 61 19
52 61 19
54 60 8
54 60 14
53 60 11
61 62 20
57 65 8
59 65 17
60 66 10
59 66 5
57 64 14
60 62 13
61 64 4
60 62 20
60 66 9
62 68 12
66 67 10
66 71 18
65 71 5
62 70 17
62 67 17
64 69 9
62 70 18
62 69 16
63 69 9
69 75 16
68 72 13
68 72 10
68 72 14
71 73 7
69 76 15
69 72 17
68 72 7
71 76 9
68 74 8
75 79 13
75 81 10
74 80 7
73 79 15
75 77 20
72 78 18
74 79 18
75 79 12
72 81 10
72 78 13
81 84 3
79 82 7
80 86 18
77 82 15
78 83 5
77 86 14
77 85 1
80 84 16
77 86 17
80 84 16
85 87 8
86 89 18
85 88 12
82 88 8
84 89 19
85 90 20
83 87 9
83 91 5
83 87 11
84 89 5
87 94 20
89 94 8
88 95 19
90 94 11
91 93 1
91 94 20
88 96 2
89 92 20
88 95 18
91 93 14
93 101 4
93 99 2
96 97 4
92 97 13
93 101 3
95 99 10
94 97 19
93 101 6
95 101 9
94 98 15
98 104 9
101 103 12
100 104 4
98 104 10
98 104 2
97 106 12
99 106 17
99 104 6
101 104 6
100 106 6
105 107 10
106 111 5
106 110 15
103 111 5
104 108 17
105 107 9
103 109 11
103 109 13
103 109 16
105 107 19
109 115 12
109 114 15
111 114 13
111 114 1
111 112 15
111 113 13
111 115 2
107 113 18
108 116 12
111 115 8
112 117 13
115 119 11
115 121 6
112 117 20
112 118 4
114 119 3
113 118 6
112 118 17
113 118 12
112 118 8
117 125 9
117 125 11
119 125 1
117 123 11
121 125 6
121 124 10
117 125 14
119 123 12
118 122 18
119 126 1
125 130 17
123 131 17
126 127 6
124 130 16
124 128 4
126 129 3
126 130 12
122 129 1
125 127 4
122 128 13
129 134 7
130 134 2
130 136 5
131 134 15
131 134 1
130 132 12
130 136 13
130 133 13
131 133 6
127 133 1
133 141 4
132 141 8
132 138 10
136 139 4
132 140 7
133 139 18
136 137 15
135 140 4
133 138 19
134 138 5
137 146 17
137 142 11
138 145 11
139 144 16
137 145 5
137 146 18
137 143 18
140 142 9
139 144 16
141 144 18
144 152 18
144 152 19
146 152 13
143 152 2
146 152 20
143 152 14
144 152 2
145 152 18
143 152 4
145 152 20
